,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Nipawin,90,CA,1577731156,100,53.36,-104.02,17.6,2.24
1,Sorland,75,NO,1577731293,64,67.67,12.69,39.2,20.8
2,Bredasdorp,87,ZA,1577731245,63,-34.53,20.04,66.2,5.82
3,Tuatapere,24,NZ,1577731296,94,-46.13,167.69,51.01,3.0
4,Mancora,40,PE,1577731297,100,-4.1,-81.05,62.6,10.29
5,Punta Arenas,40,CL,1577731298,44,-53.16,-70.91,59.0,31.09
6,Kasongo-Lunda,88,CD,1577731300,88,-6.48,16.82,70.59,0.98
7,Arraial do Cabo,40,BR,1577731301,74,-22.97,-42.02,82.4,13.87
8,La Ronge,90,CA,1577731302,92,55.1,-105.3,19.4,5.82
9,Mtsamboro,99,YT,1577731304,88,-12.7,45.07,82.4,6.93
10,Pevek,100,RU,1577731238,98,69.7,170.27,-21.53,6.71
11,Sistranda,75,NO,1577731309,87,63.73,8.83,45.0,25.28
12,Victoria,75,BN,1577731262,88,5.28,115.24,80.6,16.22
13,Hilo,75,US,1577731251,77,19.71,-155.08,72.0,6.93
14,Leningradskiy,100,RU,1577731313,94,69.38,178.42,-19.39,21.25
15,Vung Tau,27,VN,1577731314,79,10.35,107.08,78.13,14.05
16,Avera,1,US,1577731315,39,33.19,-82.53,66.99,10.29
17,Portland,90,US,1577731116,85,43.66,-70.25,28.0,9.17
18,Ushuaia,40,AR,1577731265,39,-54.81,-68.31,62.6,13.87
19,Ballina,75,IE,1577731319,93,54.11,-9.15,46.0,8.05
20,Zhigansk,100,RU,1577731320,94,66.77,123.37,-21.68,15.32
21,Vaini,17,IN,1577731244,91,15.34,74.49,65.97,3.27
22,Chyhyryn,50,UA,1577731323,79,49.08,32.67,29.3,9.91
23,Yellowknife,90,CA,1577731324,77,62.45,-114.38,-2.0,18.34
24,Landau,25,DE,1577731326,59,51.34,9.08,37.0,6.93
25,Mataura,48,NZ,1577731328,94,-46.19,168.86,51.01,3.0
26,Kruisfontein,100,ZA,1577731330,87,-34.0,24.73,62.33,5.28
27,Aranos,72,NA,1577731331,40,-24.14,19.11,86.32,15.48
28,Christchurch,34,NZ,1577731148,82,-43.53,172.64,60.01,4.7
29,Esperance,0,AU,1577731237,81,-33.86,121.89,53.6,5.82
30,Rikitea,21,PF,1577731335,83,-23.12,-134.97,76.91,13.24
31,Hobart,61,AU,1577731331,47,-42.88,147.33,57.2,12.75
32,Busselton,0,AU,1577731337,52,-33.64,115.35,55.0,7.56
33,Khasan,97,RU,1577731338,51,42.43,130.64,2.68,23.58
34,Bluff,47,AU,1577731257,87,-23.58,149.07,69.35,7.31
35,Rawson,72,AR,1577731341,89,-43.3,-65.11,63.45,7.47
36,Albany,90,US,1577731236,69,42.65,-73.75,37.99,29.97
37,Naberera,66,TZ,1577731343,80,-4.2,36.93,70.23,7.92
38,Jamestown,17,AU,1577731344,76,-33.21,138.6,55.51,16.73
39,Margate,61,AU,1577731346,47,-43.03,147.26,57.2,12.75
40,Hermanus,97,ZA,1577731349,77,-34.42,19.24,64.99,3.0
41,Pangody,100,RU,1577731297,76,65.85,74.49,9.25,21.79
42,Cape Town,20,ZA,1577731268,77,-33.93,18.42,66.99,26.4
43,Talnakh,90,RU,1577731353,84,69.49,88.39,1.4,38.03
44,Touros,40,BR,1577731354,62,-5.2,-35.46,86.0,17.22
45,Airai,99,TL,1577731355,81,-8.93,125.41,68.0,3.76
46,Paracuru,75,BR,1577731356,83,-3.41,-39.03,86.0,5.82
47,Barrow,100,AR,1577731357,84,-38.31,-60.23,72.95,13.0
48,Altamira,73,BR,1577731359,93,-3.2,-52.21,79.97,3.31
49,Caravelas,53,BR,1577731360,59,-17.73,-39.27,84.87,9.62
50,Saint Anthony,1,US,1577731361,66,43.97,-111.68,24.8,3.36
51,Atuona,32,PF,1577731362,75,-9.8,-139.03,80.17,15.93
52,Faya,28,SA,1577731364,87,18.39,42.45,57.2,3.36
53,Salina Cruz,23,MX,1577731366,73,16.18,-95.2,82.09,26.78
54,Planadas,40,CO,1577731368,46,3.2,-75.65,93.2,3.36
55,Lyuban,100,BY,1577731370,58,52.8,28.0,34.3,16.11
56,Seoul,75,KR,1577731163,57,37.57,126.98,21.2,4.7
57,Biloela,0,AU,1577731372,86,-24.4,150.51,64.45,2.71
58,Kaitangata,11,NZ,1577731374,78,-46.28,169.85,57.0,1.99
59,Puerto Ayora,40,EC,1577731375,65,-0.74,-90.35,82.4,11.41
60,Bethel,75,US,1577731376,76,60.79,-161.76,-7.6,4.7
61,Duekoue,100,CI,1577731378,28,6.74,-7.35,84.99,0.04
62,Andilamena,85,MG,1577731379,91,-17.01,48.57,70.25,3.78
63,Mount Gambier,52,AU,1577731380,87,-37.83,140.78,50.0,6.93
64,Flin Flon,90,CA,1577731381,100,54.77,-101.88,19.4,4.7
65,Luwuk,27,ID,1577731383,74,-0.95,122.79,81.07,4.88
66,Kulhudhuffushi,100,MV,1577731286,76,6.62,73.07,82.09,11.45
67,Hemsedal,22,NO,1577731386,80,60.86,8.55,37.99,5.99
68,Halifax,75,CA,1577731282,74,44.65,-63.58,34.0,10.29
69,Malazgirt,0,TR,1577731390,73,39.15,42.54,22.37,2.01
70,Dingle,45,PH,1577731265,92,11.0,122.67,73.02,10.33
71,Toora-Khem,84,RU,1577731392,89,52.47,96.11,-10.21,1.32
72,Glenwood Springs,1,US,1577731394,70,39.55,-107.33,17.6,3.36
73,Tamandare,98,BR,1577731395,62,-8.28,-70.75,85.12,4.72
74,Mocuba,94,MZ,1577731396,97,-16.84,36.99,75.97,4.32
75,Chumikan,100,RU,1577731398,96,54.72,135.31,-6.61,11.86
76,Bowen,57,AU,1577731399,94,-20.01,148.25,72.0,5.82
77,Karratha,20,AU,1577731400,85,-20.74,116.85,84.79,13.06
78,Kieta,55,PG,1577731401,76,-6.22,155.63,79.9,7.45
79,Belyy Yar,40,RU,1577731402,71,53.6,91.39,3.2,3.27
80,Hamilton,75,CA,1577731217,70,43.26,-79.87,50.0,33.33
81,Saint-Joseph,90,FR,1577731405,93,43.56,6.97,50.0,3.36
82,Methven,39,NZ,1577731408,91,-43.63,171.65,60.01,1.99
83,Chapais,75,CA,1577731309,72,49.78,-74.86,12.2,11.41
84,Georgetown,20,GY,1577731358,70,6.8,-58.16,86.0,11.41
85,U Thong,100,TH,1577731218,54,14.38,99.89,74.37,5.32
86,Burnie,83,AU,1577731413,60,-41.05,145.91,55.99,11.01
87,Alekseyevka,90,RU,1577731414,92,53.25,50.49,19.4,15.66
88,Itarema,88,BR,1577731416,52,-2.92,-39.92,88.2,11.65
89,Karata,60,RU,1577731417,80,42.6,46.34,24.96,0.85
90,Thompson,90,CA,1577731418,92,55.74,-97.86,14.0,8.05
91,Port Alfred,33,ZA,1577731420,88,-33.59,26.89,68.0,1.01
92,Broken Hill,49,AU,1577731421,52,-31.97,141.45,69.8,25.28
93,Miandrivazo,75,MG,1577731422,81,-19.53,45.46,80.65,9.37
94,Paita,40,PE,1577731423,100,-5.09,-81.11,62.6,10.29
95,Casablanca,0,MA,1577731261,82,33.6,-7.62,60.8,6.93
96,Iqaluit,90,CA,1577731426,72,63.75,-68.52,15.8,16.11
97,Qaanaaq,59,GL,1577731429,94,77.48,-69.36,-28.61,14.18
98,Virovitica,0,HR,1577731430,86,45.83,17.39,27.0,4.7
99,Svetlogorsk,30,RU,1577731431,76,53.14,59.15,-4.0,4.47
100,Rovnoye,1,RU,1577731432,77,50.78,46.06,24.24,11.21
101,Tasiilaq,98,GL,1577731248,62,65.61,-37.64,24.8,4.7
102,Berlevag,75,NO,1577731272,68,70.86,29.09,26.6,28.86
103,Vostok,100,RU,1577731436,99,46.45,135.83,-14.26,3.87
104,Saint George,75,GR,1577731273,69,39.45,22.34,39.2,8.05
105,Manta,0,RO,1577731438,68,45.1,24.1,28.15,3.31
106,Nome,1,US,1577731440,41,30.04,-94.42,62.01,11.41
107,Castro,40,CL,1577731249,59,-42.48,-73.76,66.2,6.93
108,Port Elizabeth,90,US,1577731442,93,39.31,-74.98,69.01,8.05
109,Arlit,0,NE,1577731443,16,18.74,7.39,68.16,12.12
110,Sault Sainte Marie,90,CA,1577731445,97,46.49,-84.36,32.0,6.93
111,Den Helder,0,NL,1577731448,100,52.96,4.76,46.4,19.46
112,Codrington,86,AU,1577731449,93,-28.95,153.24,69.01,4.7
113,Chuy,36,UY,1577731451,60,-33.69,-53.46,85.53,9.51
114,New Norfolk,53,AU,1577731234,47,-42.78,147.06,57.2,12.75
115,Saskylakh,0,RU,1577731453,88,71.97,114.09,-32.15,8.75
116,Hasaki,75,JP,1577731455,87,35.73,140.83,43.0,2.24
117,Cherskiy,34,RU,1577731237,98,68.75,161.3,-34.4,4.07
118,Taft,0,PH,1577731457,80,11.9,125.42,80.37,14.2
119,Temerloh,2,MY,1577731233,93,3.45,102.42,71.53,2.15
120,Lebu,22,ET,1577731460,65,8.96,38.73,55.92,5.26
121,Vacha,20,DE,1577731461,59,50.83,10.02,39.0,9.17
122,Axim,20,GH,1577731462,71,4.87,-2.24,82.0,6.11
123,Saint-Pierre,3,FR,1577731463,60,48.95,4.24,33.8,9.17
124,River Falls,90,US,1577731464,98,44.86,-92.63,33.01,16.11
125,Lobito,31,AO,1577731466,81,-12.35,13.55,78.26,4.09
126,Ponta do Sol,75,BR,1577731469,54,-20.63,-46.0,80.35,3.76
127,Praxedis Guerrero,5,MX,1577731470,34,31.37,-106.02,41.0,5.82
128,Ancud,40,CL,1577731358,59,-41.87,-73.83,66.2,6.93
129,Poum,20,MK,1577731472,63,41.28,20.71,28.4,10.29
130,Faanui,100,PF,1577731242,77,-16.48,-151.75,80.89,13.35
131,Kapaa,1,US,1577731475,94,22.08,-159.32,71.01,4.7
132,Luau,99,CD,1577731307,97,-10.7,22.23,68.72,3.24
133,Vanavara,100,RU,1577731477,97,60.35,102.28,-11.33,8.03
134,Yulara,100,AU,1577731479,73,-25.24,130.99,75.2,8.05
135,Fortuna,1,US,1577731480,100,40.6,-124.16,48.2,3.36
136,Tateyama,92,JP,1577731481,65,36.66,137.31,55.0,3.0
137,Tungawan,72,PH,1577731482,79,7.6,122.42,79.97,7.45
138,Salvador,40,BR,1577731484,66,-12.98,-38.48,84.2,12.75
139,Saint-Philippe,90,CA,1577731486,86,45.36,-73.48,33.01,18.34
140,Sao Filipe,2,CV,1577731488,61,14.9,-24.5,76.19,11.45
141,Geraldton,90,CA,1577731490,85,49.72,-86.95,17.6,12.75
142,Ixtapa,5,MX,1577731491,61,20.71,-105.21,79.0,4.7
143,Upernavik,100,GL,1577731272,95,72.79,-56.15,17.38,9.78
144,Bima,82,ID,1577731493,92,-8.45,118.73,74.05,1.52
145,Port Hedland,19,AU,1577731495,74,-20.31,118.58,86.0,11.41
146,Belmonte,0,PT,1577731496,19,40.36,-7.35,50.0,5.01
147,Staraya Mayna,90,RU,1577731497,85,54.61,48.93,24.8,17.9
148,Saldanha,0,PT,1577731498,61,41.42,-6.55,44.11,0.58
149,Norman Wells,75,CA,1577731326,75,65.28,-126.83,-13.0,3.36
150,Hithadhoo,14,MV,1577731501,77,-0.6,73.08,82.13,9.1
151,Gasa,0,BT,1577731502,80,27.91,89.73,8.46,4.59
152,Luderitz,4,NA,1577731503,77,-26.65,15.16,68.0,17.22
153,Vagur,79,FO,1577731505,73,61.47,-6.81,43.75,18.37
154,Yakeshi,52,CN,1577731509,99,49.28,120.73,-26.34,5.37
155,Vao,100,EE,1577731510,93,59.1,26.19,41.45,9.51
156,Gat,37,SN,1577731511,23,14.69,-16.54,93.2,6.93
157,Avarua,100,CK,1577731212,78,-21.21,-159.78,77.0,4.7
158,Mahajanga,20,MG,1577731513,78,-15.72,46.32,82.4,5.82
159,Half Moon Bay,1,US,1577731515,62,37.46,-122.43,55.4,8.05
160,Tautira,75,PF,1577731516,70,-17.73,-149.15,84.2,13.87
161,Alofi,100,NU,1577731223,89,-19.06,-169.92,79.07,14.5
162,Birao,0,CF,1577731519,17,10.3,22.78,74.8,9.17
163,Saintes,0,FR,1577731520,87,45.74,-0.63,44.6,3.36
164,Richards Bay,24,ZA,1577731521,84,-28.77,32.06,76.96,15.99
165,Butaritari,100,KI,1577731523,73,3.07,172.79,83.39,11.54
166,Sitka,0,US,1577731286,43,37.17,-99.65,39.99,15.01
167,Segovia,0,ES,1577731526,75,40.95,-4.12,50.0,1.9
168,Donegal,75,IE,1577731529,70,54.65,-8.11,44.6,5.82
169,Souillac,0,FR,1577731530,87,45.6,-0.6,44.6,3.36
170,Ketchikan,90,US,1577731531,87,55.34,-131.65,42.8,23.04
171,Petropavlovsk-Kamchatskiy,64,RU,1577731532,77,53.05,158.65,3.2,11.18
172,Chik,90,RU,1577731533,84,54.99,82.44,6.8,2.24
173,Jintur,53,IN,1577731535,63,19.61,76.69,65.89,12.17
174,Samoded,98,RU,1577731536,97,63.61,40.52,34.34,8.72
175,Verkhnyaya Inta,100,RU,1577731537,82,65.99,60.32,13.24,13.96
176,Belaya Gora,0,RU,1577731538,77,68.54,146.19,-31.83,1.7
177,Maldonado,90,UY,1577731526,66,-34.91,-54.96,84.2,13.87
178,Los Llanos de Aridane,98,ES,1577731541,73,28.66,-17.92,71.01,8.05
179,Atar,0,MR,1577731542,10,20.52,-13.05,75.54,12.26
180,Deputatskiy,17,RU,1577731295,68,69.3,139.9,-24.52,1.25
181,Acapulco,40,MX,1577731411,70,16.86,-99.88,86.0,4.7
182,Castanos,0,MX,1577731549,33,26.78,-101.42,54.79,6.06
183,San-Pedro,6,CI,1577731550,74,4.75,-6.64,83.23,11.68
184,San Carlos,100,NI,1577731551,61,11.12,-84.78,73.0,4.56
185,Kupang,98,ID,1577731552,74,-10.16,123.6,83.5,3.38
186,Praia da Vitoria,40,PT,1577731554,72,38.73,-27.07,60.8,18.48
187,Jinxiang,35,CN,1577731555,26,35.07,116.31,22.33,3.31
188,Humaita,40,AR,1577731556,40,-24.93,-65.37,89.6,4.7
189,Taklisah,40,TN,1577731558,62,36.78,10.63,51.8,13.87
190,Chokurdakh,10,RU,1577731559,79,70.62,147.9,-31.27,3.91
191,Klaksvik,47,FO,1577731560,70,62.23,-6.59,39.2,11.41
192,Mogadishu,0,SO,1577731561,82,2.04,45.34,81.01,20.54
193,Coihaique,20,CL,1577731301,40,-45.58,-72.07,69.8,8.05
194,Buluang,40,PH,1577731564,78,10.47,123.98,78.8,6.93
195,Paamiut,0,GL,1577731566,47,61.99,-49.67,19.71,9.4
196,Te Anau,0,NZ,1577731569,77,-45.41,167.72,50.97,5.08
197,Nishihara,75,JP,1577731570,75,35.74,139.53,46.99,6.93
198,Surt,69,LY,1577731572,67,31.21,16.59,50.2,7.54
199,Mar del Plata,0,AR,1577731560,34,-46.43,-67.52,70.84,15.79
200,Komsomolskiy,100,RU,1577731574,92,67.55,63.78,9.77,17.49
201,Boca Del Monte,40,GT,1577731575,47,14.55,-90.52,78.8,6.93
202,Atbasar,90,KZ,1577731576,97,51.81,68.36,-9.22,5.75
203,Inuvik,90,CA,1577731300,68,68.36,-133.71,-14.8,2.24
204,Toila,100,EE,1577731579,87,59.42,27.51,40.6,20.47
205,Taoudenni,0,ML,1577731580,24,22.68,-3.98,64.13,14.16
206,Charlottetown,90,CA,1577731581,81,46.23,-63.13,32.0,14.99
207,Bathsheba,40,BB,1577731583,66,13.22,-59.52,86.0,16.11
208,Port Lincoln,31,AU,1577731584,69,-34.72,135.86,58.98,10.27
209,Tuktoyaktuk,75,CA,1577731588,75,69.44,-133.03,-14.8,9.17
210,Pemba,100,MZ,1577731589,85,-12.97,40.52,80.35,15.5
211,Sola,90,TZ,1577731591,82,-3.17,33.8,67.96,2.59
